header,original_value,new_value
ValueType,SW,WD
ValueType,GW,WD
ValueType,WD,WD
ValueType,DC,RL
ValueType,RL,RL
ValueType,DL,TR
ValueType,PR,TR
ValueType,AB,NA_character_
SourceType,SW,SW
SourceType,SW-SALINE,SW
SourceType,Surface Water,SW
SourceType,GW,GW
SourceType,Groundwater,GW
SourceType,TW,PS
SourceType,DC,NA_character_
SourceType,FW,NA_character_
Category,AG,AG
Category,Agricultural Irrigation,IR
Category,Agriculture,AG
Category,AQ,AQ
Category,AQ10,AQ
Category,CO,CO
Category,CO21,CO
Category,CO22,CO
Category,CO30,CO
Category,CO99,CO
Category,COM,CO
Category,COMM,CO
Category,Commercial,CO
Category,DS11,NA
Category,EG21,TE
Category,EG22,TE
Category,EG31,TE
Category,EG99,CO
Category,Exempt Not Reported,NA_character_
Category,FACILITY CATTLE FEEDLOT,AG
Category,FACILITY DAIRY,AG
Category,FACILITY INDUSTRIAL USE,IN
Category,FACILITY METAL MINING,MI
Category,FACILITY POWER GENERATION,TE
Category,FACILITY SAND AND GRAVEL,MI
Category,Heating/Cooling,NA_character_
Category,IN,IN
Category,IN or MI,NA_character_
Category,IN10,IN
Category,IN31,IN
Category,IN51,IN
Category,IN61,MI
Category,IN62,IN
Category,IN63,IN
Category,IN64,IN
Category,Mining: Coal,MI
Category,Mining: Non-Coal,MI
Saline,SW-SALINE,TRUE
Saline,Saline,TRUE
Saline,Fresh,FALSE
Saline,Unknown,NA
SourceType,NA,NA_character_
SourceType,GROUNDWATER,GW
SourceType,EFFLUENT,WW
SourceType,OTHER OR UNKNOWN,NA_character_
SourceType,OTHER,NA_character_
SourceType,RECYCLED WASTEWATER,WW
SourceType,COMMINGLED WATER,WW
SourceType,GENERATED WASTEWATER,WW
SourceType,EFFLUENT (DIRECT USE),WW
SourceType,SRP SURFACE WATER,SW
SourceType,CAP/CONTRACT,SW
SourceType,DECREED/APPROPRIATIVE SURFACE WATER,SW
SourceType,SPILLWATER,SW
SourceType,IN-LIEU WATER  (CAP),SW
SourceType,CAP,SW
SourceType,EXCHANGE WATER - SURFACE WATER,SW
SourceType,EFFLUENT RECOVERED OUTSIDE THE AOI,WW
SourceType,EFFLUENT RECLAIMED SYSTEM,WW
SourceType,CAP WATER RECOVERED,WW
SourceType,SALT RIVER,SW
SourceType,OTHER SURFACE WATER,SW
SourceType,NORMAL FLOW,SW
SourceType,CAP WATER STORED,GW
SourceType,IN-LIEU WATER,SW
SourceType,Stream,SW
SourceType,Underground Mine,NA_character_
SourceType,Lake,SW
SourceType,Pond,SW
SourceType,Ground,GW
SourceType,COE Impoundment,SW
SourceType,Slurry Impoundment,WW
SourceType,Spring,GW
Category,IN65,IN
Saline,NA,NA
Saline,SW,FALSE
Saline,GW,FALSE
Units_monthly,mgd,mgd
Units_monthly,MGD,mgd
Units_monthly,mgald,mgd
Units_monthly,Mgd,mgd
Units_monthly,million gallons per day,mgd
Units_monthly,Mgal/d,mgd
Method_monthly,CTDEEP_2021_Est,Estimated
Method_monthly,CTDEEP_Estimated,Estimated
Method_monthly,Estimated,Estimated
Method_monthly,CTDEEP_Reported,Metered
Method_monthly,PA 02-102,Metered
Method_monthly,Reported,Metered
Method_monthly,Unknown,NA_character_
Units_annual_reported,mgd,mgd
Units_annual_reported,MGD,mgd
Units_annual_reported,mgald,mgd
Units_annual_reported,Mgd,mgd
Units_annual_reported,million gallons per day,mgd
Units_annual_reported,Mgal/d,mgd
Method_annual_reported,CTDEEP_2021_Est,Estimated
Method_annual_reported,CTDEEP_Estimated,Estimated
Method_annual_reported,Estimated,Estimated
Method_annual_reported,CTDEEP_Reported,Metered
Method_annual_reported,PA 02-102,Metered
Method_annual_reported,Reported,Metered
Method_annual_reported,Unknown,NA_character_
Units_monthly,NA,NA_character_
Units_annual_reported,NA,NA_character_
Units_monthly,MG,mgal
Units_monthly,GAL,gal
Units_monthly,ACFT,acft
Units_annual_reported,MG,mgal
Units_annual_reported,GAL,gal
Units_annual_reported,ACFT,acft
Method_monthly,application,Permitted
Method_monthly,permitted,Permitted
Method_monthly,permited,Permitted
Method_monthly,authorized,Permitted
Method_monthly,reported,Metered
Method_monthly,submitted,Metered
Method_annual_reported,application,Permitted
Method_annual_reported,permitted,Permitted
Method_annual_reported,permited,Permitted
Method_annual_reported,authorized,Permitted
Method_annual_reported,reported,Metered
Method_annual_reported,submitted,Metered
DataProtected,No further distribution,TRUE
DataProtected,expressed written approval,TRUE
Method_monthly,Unknown,NA_character_
Method_annual_reported,Unknown,NA_character_
Units_monthly,mg,mgal
Units_annual_reported,mg,mgal
ValueType,RT,RL
ValueType,WL,WD
SourceType,AT,NA_character_
Description,AF,Agriculture (Field)
Description,AG,Agriculture (Greenhouse)
Description,AL,Agriculture (Livestock)
Description,AR,Artificial Recharge
Description,AQ,Aquaculture
Description,BH,Bulk Hauler
Description,BW,Bottled Water
Description,BK,Brook
Description,CG,Consumer Goods
Description,CH,Cooling and Heating
Description,CO,Commercial
Description,CP,Cleaning and Processing
Description,CS,Combined Sources
Description,CV ,Conveyance
Description,DC,Dust Control
Description,DO,Domestic
Description,EV,Evaporation
Description,FL,Forestry and Lumbering
Description,GR,Groundwater Remediation
Description,HP,Power (Hydro-Electric-R)
Description,IN,Industrial
Description,IR,Irrigation
Description,IT,Institutional
Description,LF,Leach Field
Description,LG,Lagoon
Description,LK,Lake
Description,MI,Mining
Description,OC,Ocean
Description,PB,Power (Biomass)
Description,PD,Pond
Description,PF,Power Fossil-Fuel
Description,PG,Power Geothermal
Description,PH,Hydroelectric-Reporting in KWH
Description,PN,Power Nuclear Energy
Description,RI,Wastewater Rapid Infiltration Basin
Description,RS,Reservoir
Description,RV,River
Description,SI,Spray Irrigation
Description,SM,Snowmaking
Description,SP,Spring
Description,ST,Sewage Treatment
Description,UI,Underground Injection
Description,WB,Bedrock Well
Description,WD,Dug Well
Description,WF,Well Field
Description,WG,Gravel Well
Description,WK,Gravel-Pack Well
Description,WL,Well (type uncertain)
Description,WP,Well Point
Description,WS,Water Supplier
ValueType,Pur,TR
ValueType,SS,WD
ValueType,Ss,WD
Category,IN98,IN
Category,IN99,IN
Category,IND,IN
Saline,N,FALSE
Saline,Y,TRUE
SourceType,"Surface Water, Pur",PS
SourceType,"Groundwater, SS",GW
SourceType,"Surface Water, Ss",SW
SourceType,"Groundwater, Pur",PS
Category,INDUST,IN
Category,INDUSTRIAL,IN
Category,Industrial,IN
Category,Industrial Processing,IN
Category,IR,IR
Category,IR10,IR
SourceType,GROUND,GW
SourceType,SURFACE,SW
Category,IR21,IR
Category,IR22,IR
Category,IR23,IR
Method_monthly,Metered,Metered
ValueType,Gallons per year,WD
Units_annual_reported,Gallons per year,gal
Units_monthly,Gallons per month,gal
SourceType,GL,SW
Category,IR24,IR
Category,IR25,IR
Category,IR31,IR
Category,IR32,IR
Category,IR99,IR
Category,Irrigation,IR
Method_monthly,TFM,Metered
Method_monthly,THM,Metered
Method_monthly,MHP,Metered
Method_monthly,COTH,Estimated
Method_monthly,OTH,Estimated
Method_monthly,MRW,Metered
Method_monthly,MHP,Metered
Method_monthly,LER,Estimated
Method_monthly,LED,Estimated
Method_monthly,LERD,Estimated
Method_monthly,LEC,Estimated
Method_monthly,LEO,Estimated
Method_monthly,LET,Estimated
Method_monthly,LEW,Estimated
Method_monthly,LEP,Estimated
Method_annual_reported,TFM,Metered
Method_annual_reported,THM,Metered
Method_annual_reported,MHP,Metered
Method_annual_reported,COTH,Estimated
Method_annual_reported,OTH,Estimated
Method_annual_reported,MRW,Metered
Method_annual_reported,MHP,Metered
Method_annual_reported,LER,Estimated
Method_annual_reported,LED,Estimated
Method_annual_reported,LERD,Estimated
Method_annual_reported,LEC,Estimated
Method_annual_reported,LEO,Estimated
Method_annual_reported,LET,Estimated
Method_annual_reported,LEW,Estimated
Method_annual_reported,LEP,Estimated
Method_annual_reported,NA,NA_character_
Method_monthly,NA,NA_character_
Category,Livestock,AG
Category,LV20,AG
Category,MF,MF
Category,MFG,MF
Category,MI,MI
Category,MIN,MI
Category,Mining,MI
Category,NA,NA_character_
Category,Non-Crop Irrigation,IR
Category,OT01,NA_character_
Category,OT11,RM
Category,OT12,RM
Category,OT13,NA_character_
Category,OT98,NA_character_
Category,OT99,NA_character_
Category,OTH,NA_character_
Category,Other,NA_character_
Category,Other Total,NA_character_
Category,Power,TE
Category,Power Generation,TE
Category,PS,PS
Category,PS11,PS
Category,PS22,PS
Category,PS41,PS
Category,PS44,PS
Category,PT,NA_character_
Category,Public,PS
Category,Public Supply,PS
Category,PWR,TE
Category,Recreation Fish & Wildlife,NA_character_
Category,Remediation,RM
Category,RM,RM
Category,Special Categories,NA_character_
Category,TE,TE
Category,Thermo Once Thru,TE
Category,Thermo Recirc,TE
Category,Total,NA_character_
Category,Water Level Maintenance,NA_character_
Category,Water Supply,PS
Category,WS,PS
Category,PS23,PS
Category,PS21,PS
Category,PS13,PS
Category,PS42,PS
Category,PS12,PS
Category,DS12,NA_character_
Category,PS43,PS
Category,PS31,PS
Category,LV10,AG
Category,IN32,IN
Category,IN41,IN
Category,IN42,IN
Category,PS50,PS
Category,PS32,PS
Category,IN53,IN
Category,PS45,PS
Category,OT14,NA_character_
Category,CO-OT,CO
Category,IN (special EG case),IN
Category,IR-crop,IR
Category,IR-golf,IR
Category,IR-other,IR
Category,PS-CO,PS
Category,PS-MUNI,PS
Category,CO-State Hospital,CO
Category,PS-OTM,PS
Category,IR22 & CO99,IR
Category,LV20 or CO99,AG
Category,LV13,AG
Category,LV15,AG
Category,OT13 or OT99,NA_character_
Category,PS25,PS
Category,PS47,PS
Category,LV20 or CO99,AG
Category,well serving people and animals,AG
Category,PS26,PS
Category,"LV20 or CO99, well serving people and animals",AG
Method_monthly,UNSP,NA_character_
Method_monthly,UNKN,NA_character_
Method_annual_reported,UNSP,NA_character_
Method_annual_reported,UNKN,NA_character_
Category,Aquaculture,AQ
Category,Thermoelectric,TE
Units_annual_reported,Gallons per Year,gal
Units_monthly,Gallons per Month,gal
SourceType,UG,GW
SourceType,GEO,GW
SourceType,EFF,WW
SourceType,SPR,SW
SourceType,STR,SW
SourceType,OSW,SW
SourceType,OGW,GW
SourceType,(SW),SW
SourceType,(GW),GW
Units_monthly,All values in AF,acft
Units_annual_reported,All values in AF,acft
SourceType,Surface,SW
SourceType,Surface and ground,NA_character_
SourceType,IND,NA_character_
SourceType,INDOTH,NA_character_
SourceType,INDFP,NA_character_
SourceType, ,NA_character_
SourceType,WELL,GW
SourceType,SURFACE INTAKE,SW
ValueType,UD,TR
ValueType,UR,RL
SourceType,WW,WW
SourceType,TR,WW
SourceType,FN,PS
SourceType,UN,NA_character_
Saline,Unspecified,NA
Units_monthly,Tgal/m,Tgal
Units_monthly,gal/m,gal
Units_monthly,Mgal/m,mgal
Units_monthly,acre-feet/m,acft
Units_annual_reported,Mgal/yr,mgal
Units_annual_reported,gal/yr,gal
Method_annual_reported,Unspecified,NA_character_
Method_annual_reported,Metered Type Unknown,Metered
Method_annual_reported,Flowmeter Cumulative,Metered
Method_monthly,Unspecified,NA_character_
Method_monthly,Metered Type Unknown,Metered
Method_monthly,Flowmeter Cumulative,Metered
Units_annual_reported,Tgal/yr,Tgal
Units_annual_reported,gal/d,gal per day
Units_annual_reported,acre-feet/yr,acft
Units_monthly,gal/d,gal per day
Units_monthly,Mgal/yr,NA_character_
Units_monthly,gal/yr,NA_character_
