"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_FIPS","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","DataSource"
"LA","NA","NA",NA,"NA","abita brewing company incorporated","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"31212","2082","NA","NA","NA","NA",NA,NA,"NA",NA,"21084 Highway 36","Covington","NA",NA,NA,"NA",NA,NA,"30.475000000000001","-90.033299999999997","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"LA","NA","NA",NA,"NA","acadia bottling company purchases water from lus","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"31211","2086","NA","NA","NA","NA",NA,NA,"NA",NA,"700 Kaliste Saloom Road","Lafayette","NA",NA,NA,"NA",NA,NA,"30.18139","-92.019400000000005","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"LA","WD","SW","IN","NA","acme brick company justin industries incorporated","NA",NA,"92201300051","NA",NA,"intake on pond 4140",NA,"92201300051",NA,"NA","NA","NA","11140209","11140209","11140209",NA,NA,"black lake bayou",NA,"NA","NA","Bienville Parish",NA,NA,"NA",NA,NA,"32.3418230080953","-93.2085006012397","NAD27",1989,0.001,0.0011,0.001,0.0011,0.001,0.0011,0.001,0.001,0.0011,0.001,0.0011,0.001,"mgd","NA",0.0011,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"LA","NA","NA",NA,"NA","acme brick company justin industries incorporated plant assumed closed","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"327121","3251","NA","NA","NA","NA",NA,NA,"NA",NA,"3457 Highway 792","Jamestown","NA",NA,NA,"NA",NA,NA,"32.341670000000001","-93.208299999999994","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"LA","WD","SW","IN","NA","ada carbon solutions red river limited liability company","NA",NA,"92208103764","NA",NA,"intake for ada carbon solutions",NA,"92208103764",NA,"325182","2895","NA","11140206","11140206","11140206",NA,NA,"bayou pierre",NA,"201 Red River Mine Road","Coushatta","Red River Parish",NA,NA,"NA",NA,NA,"32.0040505865761","-93.3901735772113","NAD27",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgd","NA",0.279,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, From_To_Sites missing lat lng.xlsx$From_To_Sites_missing_lat_lng"
"LA","WD","SW","IN","NA","ada carbon solutions red river limited liability company","NA",NA,"92208103764","NA",NA,"intake for ada carbon solutions",NA,"92208103764",NA,"325182","2895","NA","11140206","11140206","11140206",NA,NA,"bayou pierre",NA,"201 Red River Mine Road","Coushatta","Red River Parish",NA,NA,"NA",NA,NA,"32.0040505865761","-93.3901735772113","NAD27",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgd","NA",0.2128,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, From_To_Sites missing lat lng.xlsx$From_To_Sites_missing_lat_lng"
"LA","WD","SW","IN","NA","ada carbon solutions red river limited liability company","NA",NA,"92208103764","NA",NA,"intake for ada carbon solutions",NA,"92208103764",NA,"325182","2895","NA","11140206","11140206","11140206",NA,NA,"bayou pierre",NA,"201 Red River Mine Road","Coushatta","Red River Parish",NA,NA,"NA",NA,NA,"32.0040505865761","-93.3901735772113","NAD27",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgd","NA",0.2987,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, From_To_Sites missing lat lng.xlsx$From_To_Sites_missing_lat_lng"
"LA","WD","SW","IN","NA","ada carbon solutions red river limited liability company","NA",NA,"92208103764","NA",NA,"intake for ada carbon solutions",NA,"92208103764",NA,"325182","2895","NA","11140206","11140206","11140206",NA,NA,"bayou pierre",NA,"201 Red River Mine Road","Coushatta","Red River Parish",NA,NA,"NA",NA,NA,"32.0040505865761","-93.3901735772113","NAD27",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgd","NA",0.4152,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, From_To_Sites missing lat lng.xlsx$From_To_Sites_missing_lat_lng"
"LA","NA","NA",NA,"NA","air liquide america corporation plaquemine plant","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"32512","2813","NA","NA","NA","NA",NA,NA,"NA",NA,"57805 Evergreen Road","Plaquemine","NA",NA,NA,"NA",NA,NA,"30.466670000000001","-91.316699999999997","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"LA","NA","NA",NA,"NA","air liquide america limited partnership sulphur plant purchases 100percent","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"32512","2813","NA","NA","NA","NA",NA,NA,"NA",NA,"3900 Highway 27 S","Sulphur","NA",NA,NA,"NA",NA,NA,"30.197220000000002","-93.378600000000006","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
