"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","SourceNumber2","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","County2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_V1","SITESELECTION_X","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_NAME_FIX","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_ZIP_5","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_SIC","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","SITESELECTION_STATE_NAME","SITESELECTION_StateFIPS","SITESELECTION_CNTY_FIPS","SITESELECTION_ST_CNTY_FIPS","SITESELECTION_CDC_Region","SITESELECTION_huc2","SITESELECTION_NAICSDESCR","SITESELECTION_SICDESCR","DataSource"
"WI","WD","GW",NA,NA,"2003 APPLETREE ROAD LIMITED LIABILITY COMPANY","HARVEST HOME REAL ESTATE",NA,"14159","25542","22237",NA,NA,"21548",NA,NA,NA,NA,NA,NA,NA,NA,"LIMESTONE DOLOMITE",NA,NA,NA,NA,"Sheboygan",NA,NA,NA,NA,NA,NA,NA,NA,"43.812209998900002","-87.831350000200004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW",NA,NA,"2003 APPLETREE ROAD LIMITED LIABILITY COMPANY","HARVEST HOME REAL ESTATE",NA,"14159","25543","22237",NA,NA,"21549",NA,NA,NA,NA,NA,NA,NA,NA,"LIMESTONE DOLOMITE",NA,NA,NA,NA,"Sheboygan",NA,NA,NA,NA,NA,NA,NA,NA,"43.811779999300001","-87.831349999500006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW",NA,NA,"2003 APPLETREE ROAD LIMITED LIABILITY COMPANY","HARVEST HOME REAL ESTATE",NA,"14159","25674","22237",NA,NA,"21680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sheboygan",NA,NA,NA,NA,NA,NA,NA,NA,"43.812099998599997","-87.831799999699996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86400,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW",NA,NA,"2003 APPLETREE ROAD LIMITED LIABILITY COMPANY","HARVEST HOME REAL ESTATE",NA,"14159","25675","22237",NA,NA,"21681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sheboygan",NA,NA,NA,NA,NA,NA,NA,NA,"43.811899998800001","-87.831899999499996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86400,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW",NA,NA,"ABENDROTH RICK","ABENDROTH RICK",NA,"13627","24020","21346",NA,NA,"20041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dodge",NA,NA,NA,NA,NA,NA,NA,NA,"43.207299999200004","-88.891000000199995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28800,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW","IR",NA,"ABENDROTH RICK","ABENDROTH RICK",NA,"13627","26046","21346",NA,NA,"22052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dodge",NA,NA,NA,NA,NA,NA,NA,NA,"43.208099998900003","-88.886399999600002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152000,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW",NA,NA,"ADAMS SHANE","ADAMS SHANE",NA,"14292","25938","22370",NA,NA,"21944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portage",NA,NA,NA,NA,NA,NA,NA,NA,"44.403689999400001","-89.430110000599996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW","IN",NA,"ADVANCE CONSTRUCTION","ADVANCE CONSTRUCTION",NA,"14553","26607","21081",NA,NA,"22601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dane",NA,NA,NA,NA,NA,NA,NA,NA,"42.916892075299998","-89.227194034099995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2419200,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW","IR",NA,"AGRI ALLIANCE LAND LIMITED LIABILITY COMPANY","WYSOCKI PRODUCE FARMS INCORPORATED",NA,"6531","23879","22197",NA,NA,"19901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portage",NA,NA,NA,NA,NA,NA,NA,NA,"44.286939999499999","-89.511750000199996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
"WI","WD","GW","IR",NA,"AGRI ALLIANCE LAND LIMITED LIABILITY COMPANY","WYSOCKI PRODUCE FARMS INCORPORATED",NA,"6536","24406","22197",NA,NA,"20417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portage",NA,NA,NA,NA,NA,NA,NA,NA,"44.255499998799998","-89.533199999600001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440000,"GPD","Permitted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/WI/WDNR_SITE_INFO_05272021.xlsx$SITE_GW_PT, /WI/read_me.docx"
